Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
Alyssa Gagliardi,BOS,D,18507441,2018-01-21,BOS,MET,0,0,0,0,0,-0.06000000000000001,1,0,1,0,0,0,0,0,0,0,0,0,2,4,1,0,0
Ashley Johnston,MET,D,18507441,2018-01-21,BOS,MET,0,0,0,0,0,-0.06000000000000001,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0
Courtney Burke,MET,D,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Jenny Ryan,MET,D,18507441,2018-01-21,BOS,MET,0,1,0,1,1,0.58,1,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
Kaliya Johnson,BOS,D,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.04999999999999999,2,0,0,NA,0,0,0,0,0,0,0,0,2,0,1,0,0
Kiira Dosdall,MET,D,18507441,2018-01-21,BOS,MET,0,1,0,1,1,0.75,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Lexi Bender,BOS,D,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michelle Picard,MET,D,18507441,2018-01-21,BOS,MET,0,0,0,0,0,-0.34,0,1,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0
Paige Harrington,BOS,D,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Rebecca Morse,MET,D,18507441,2018-01-21,BOS,MET,1,0,0,1,1,1.05,2,0,0,NA,0,0,0,1,0,0,0,0,2,0,0,0,0
Meagan Mangene,BOS,D|F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,-0.25,1,0,0,NA,0,0,0,0,0,0,1,4,0,1,0,0,0
Alexa Gruschow,MET,F,18507441,2018-01-21,BOS,MET,1,1,0,2,2,1.7600000000000002,0,2,0,1,0,0,0,1,0,0,14,13,0,0,0,0,0
Bray Ketchum,MET,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.33,3,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
Corey  Stearns,BOS,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.09000000000000002,3,0,0,NA,0,0,0,0,0,0,6,8,0,0,0,0,0
Dana Trivigno,BOS,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.33999999999999997,2,0,2,0,0,0,0,0,0,0,3,2,0,2,0,0,0
Emily Field,BOS,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.33,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erika  Lawler,MET,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.2899999999999999,2,1,0,1,0,0,0,0,0,0,8,6,2,0,0,0,0
Harrison Browne,MET,F,18507441,2018-01-21,BOS,MET,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heather  Schwarz,BOS,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,-0.12,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Janine Weber,BOS,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.33999999999999997,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Janine Weber,MET,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.33999999999999997,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jillian Dempsey,BOS,F,18507441,2018-01-21,BOS,MET,1,0,0,1,1,1.09,3,0,2,0,0,0,0,0,0,0,9,11,0,0,1,0,0
Jordan Smelker,BOS,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0.12,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0
Kathryn Tomaselli,BOS,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,-0.12,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0
Lauren Wash,MET,F,18507441,2018-01-21,BOS,MET,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0
Madison Packer,MET,F,18507441,2018-01-21,BOS,MET,1,0,1,2,1,1.85,3,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
Mary Parker,BOS,F,18507441,2018-01-21,BOS,MET,0,1,0,1,1,0.62,2,0,0,NA,0,0,0,0,0,0,0,2,0,1,0,0,0
Rebecca Russo,MET,F,18507441,2018-01-21,BOS,MET,0,1,1,2,1,1.62,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
